時間,成交價,成交張數
2024-05-19 12:34:15,511.0,1.0
2024-05-19 12:34:10,511.0,2.0
2024-05-19 12:34:05,511.0,1.0
2024-05-19 12:34:00,511.0,2.0
2024-05-19 12:33:55,511.0,1.0
2024-05-19 12:33:50,511.0,3.0
2024-05-19 12:33:40,511.0,1.0
2024-05-19 12:33:35,511.0,1.0
2024-05-19 12:33:25,511.0,3.0
2024-05-19 12:33:20,510.0,2.0
2024-05-19 12:33:15,511.0,1.0
2024-05-19 12:33:05,511.0,1.0
2024-05-19 12:33:00,511.0,1.0
2024-05-19 12:32:50,511.0,1.0
2024-05-19 12:32:45,511.0,1.0
2024-05-19 12:32:40,511.0,1.0
2024-05-19 12:32:35,511.0,1.0
2024-05-19 12:32:30,511.0,1.0
2024-05-19 12:32:20,511.0,1.0
2024-05-19 12:32:15,511.0,1.0
2024-05-19 12:32:10,511.0,1.0
2024-05-19 12:32:00,511.0,1.0
2024-05-19 12:31:55,511.0,3.0
2024-05-19 12:31:50,511.0,1.0
2024-05-19 12:31:45,511.0,1.0
2024-05-19 12:31:40,511.0,1.0
2024-05-19 12:31:30,511.0,1.0
2024-05-19 12:31:25,511.0,1.0
2024-05-19 12:31:20,511.0,1.0
2024-05-19 12:31:10,511.0,2.0
2024-05-19 12:31:05,511.0,1.0
2024-05-19 12:31:00,510.0,1.0
2024-05-19 12:30:55,511.0,1.0
2024-05-19 12:30:50,511.0,1.0
2024-05-19 12:30:45,511.0,2.0
2024-05-19 12:30:35,511.0,1.0
2024-05-19 12:30:30,511.0,1.0
2024-05-19 12:30:20,511.0,2.0
2024-05-19 12:30:15,511.0,2.0
2024-05-19 12:30:10,511.0,1.0
2024-05-19 12:30:00,511.0,1.0
2024-05-19 12:29:55,510.0,7.0
2024-05-19 12:29:50,510.0,6.0
2024-05-19 12:29:45,511.0,1.0
2024-05-19 12:29:40,512.0,1.0
2024-05-19 12:29:35,512.0,1.0
2024-05-19 12:29:30,512.0,1.0
2024-05-19 12:29:25,512.0,1.0
2024-05-19 12:29:20,512.0,1.0
2024-05-19 12:29:10,512.0,1.0
2024-05-19 12:29:05,512.0,1.0
2024-05-19 12:28:55,512.0,1.0
