時間,成交價,成交張數
12:29:25,169.5,3
12:29:20,169.5,4
12:29:15,169.5,2
12:29:10,169.5,5
12:29:05,169.5,4
12:29:00,169.5,3
12:28:55,169.5,10
12:28:50,169.5,6
12:28:45,169.5,11
12:28:40,169.5,9
12:28:35,169.5,203
12:28:30,169.5,6
12:28:25,169.5,2
12:28:20,169.5,5
12:28:15,169.5,9
12:28:10,169.5,30
12:28:05,169.5,67
12:28:00,169.5,7
12:27:55,170.0,5
12:27:45,169.5,3
12:27:40,169.5,1
12:27:35,169.5,3
12:27:30,169.5,3
12:27:25,169.5,4
12:27:20,169.5,3
12:27:15,169.5,5
12:27:10,170.0,6
12:27:05,169.5,1
12:27:00,169.5,312
12:26:55,170.0,3
12:26:50,170.0,1
12:26:45,170.0,3
12:26:40,170.0,11
12:26:35,169.5,2
12:26:30,169.5,5
12:26:20,169.5,2
12:26:15,170.0,1
12:26:10,170.0,15
12:26:05,169.5,2
12:26:00,169.5,17
12:25:55,170.0,1
12:25:50,169.5,2
12:25:45,170.0,9
12:25:40,170.0,3
12:25:35,170.0,1
12:25:30,169.5,3
12:25:20,170.0,1
12:25:10,169.5,4
12:25:00,169.5,4
12:24:55,169.5,2
12:24:45,169.5,5
12:24:40,170.0,3
12:24:35,169.5,2
12:24:30,169.5,4
12:24:10,170.0,1
12:24:05,170.0,2
12:24:00,169.5,5
12:23:55,169.5,2
12:23:50,169.5,9
12:23:30,169.5,5
12:23:20,170.0,9
12:23:15,170.0,3
12:23:10,169.5,4
12:23:05,170.0,2
12:22:55,170.0,19
12:22:50,169.5,1
12:22:45,170.0,1
12:22:40,170.0,2
12:22:35,169.5,8
12:22:30,169.5,2
12:22:25,169.5,2
12:22:20,170.0,4
12:22:05,170.0,5
12:21:55,170.0,1
12:21:50,169.5,9
12:21:45,169.5,2
12:21:40,169.5,2
12:21:35,169.5,3
12:21:25,169.5,4
12:21:20,169.5,1
12:21:10,169.5,2
12:21:00,169.5,2
12:20:55,169.5,3
12:20:45,170.0,1
12:20:30,169.5,8
12:20:20,169.5,3
12:20:05,169.5,3
12:20:00,169.5,2
12:19:50,169.5,3
12:19:45,170.0,1
12:19:30,169.5,3
12:19:20,170.0,1
12:19:10,169.5,2
12:19:05,170.0,5
12:19:00,169.5,3
12:18:55,170.0,3
12:18:50,170.0,24
12:18:45,169.5,64
12:18:40,170.0,11
12:18:35,170.0,111
12:18:30,170.0,30
12:18:25,170.0,43
12:18:20,170.0,4
12:18:15,170.0,12
